interval_seconds,ycsb_ops,kmeans_ops,bank_ops,total_ops_interval,cpu_utilization,memory_utilization,core_count,threads_per_core,evict_threshold,cache_hit,sst_count,total_ops_cumulative,request_total,memory_utilization_normalized
5,0,1584,0,452,99.0,85.91,2,1,386000,291509,0,2260,1584,1.0
5,0,1600,0,478,99.7,86.09,2,1,386000,586517,0,4652,1600,1.0
5,0,1600,0,476,100.0,86.31,2,1,386000,888071,0,7032,1600,1.0
5,0,1600,0,524,100.0,86.43,2,1,386000,1189631,0,9653,1600,1.0
5,0,1600,0,531,99.9,85.94,2,1,386000,1492955,0,12308,1600,1.0
5,0,1584,0,503,99.9,86.22,2,1,386000,1787521,0,14824,1584,1.0
5,0,1600,0,522,99.9,85.74,2,1,386000,2087431,0,17434,1600,1.0
5,0,1600,0,463,99.9,85.96,2,1,386000,2375949,0,19753,1600,1.0
5,0,1600,0,512,99.9,86.39,2,1,386000,2680781,0,22315,1600,1.0
5,0,1600,0,498,99.9,85.89,2,1,386000,2980697,0,24806,1600,1.0
5,0,1584,0,505,100.0,86.1,2,1,386000,3277581,0,27335,1584,1.0
5,0,1600,0,499,99.9,86.21,2,1,386000,3576923,0,29833,1600,1.0
5,0,1600,0,477,99.7,86.36,2,1,386000,3869667,0,32220,1600,1.0
5,0,1600,0,500,66.56,86.43,3,1,386000,4168679,0,34723,1600,1.0
5,0,1600,0,690,99.73,86.44,3,1,386000,4610823,0,38176,1600,1.0
5,0,1584,0,792,99.53,85.87,3,1,386000,5059263,0,42138,1584,1.0
5,0,1600,0,743,99.2,85.86,3,1,386000,5501331,0,45856,1600,1.0
5,0,1600,0,715,99.4,86.32,3,1,386000,5939339,0,49431,1600,1.0
5,0,1600,0,748,99.67,86.25,3,1,386000,6383320,0,53171,1600,1.0
5,0,1600,0,737,99.87,86.36,3,1,386000,6825568,0,56860,1600,1.0
5,0,1584,0,756,99.8,86.29,3,1,386000,7267406,0,60642,1584,1.0
5,0,1600,0,768,99.33,86.19,3,1,386000,7710467,0,64484,1600,1.0
5,0,1600,0,766,98.93,86.25,3,1,386000,8158661,0,68314,1600,1.0
5,0,1600,0,751,100.0,86.11,3,1,386000,8602589,0,72069,1600,1.0
5,0,1600,0,762,99.93,86.25,3,1,386000,9047084,0,75880,1600,1.0
5,0,1584,0,768,74.55,86.21,4,1,386000,9493203,0,79724,1584,1.0
5,0,1600,0,971,98.84,85.91,4,1,386000,10073791,0,84579,1600,1.0
5,0,1600,0,995,99.0,86.41,4,1,386000,10659089,0,89555,1600,1.0
5,0,1600,0,997,98.9,86.24,4,1,386000,11241299,0,94541,1600,1.0
5,0,1600,0,1009,98.95,86.04,4,1,386000,11824034,0,99588,1600,1.0
5,0,1584,0,956,99.15,85.83,4,1,386000,12398136,0,104373,1584,1.0
5,0,1600,0,957,99.05,86.41,4,1,386000,12975613,0,109155,1600,1.0
5,0,1600,0,1006,98.95,85.96,4,1,386000,13558901,0,114188,1600,1.0
5,0,1600,0,961,98.6,85.76,4,1,386000,14136184,0,118994,1600,1.0
