interval_seconds,ycsb_ops,kmeans_ops,bank_ops,total_ops_interval,cpu_utilization,memory_utilization,core_count,threads_per_core,evict_threshold,cache_hit,sst_count,total_ops_cumulative,request_total,memory_utilization_normalized
5,0,0,1600,1554,6.93,86.11,7,1,386000,1536123,0,485899,1600,1.0
5,0,0,1584,1567,7.13,85.78,7,1,386000,1560252,0,493738,1584,1.0
5,0,0,1584,1547,6.89,85.95,7,1,386000,1584041,0,501474,1584,1.0
5,0,0,1600,1565,6.84,85.83,7,1,386000,1608288,0,509303,1600,1.0
5,0,0,1584,1555,6.98,86.44,7,1,386000,1632242,0,517082,1584,1.0
5,0,0,1600,1566,7.11,86.03,7,1,386000,1656488,0,524919,1600,1.0
5,0,0,1584,1558,6.46,85.76,7,1,386000,1680486,0,532705,1584,1.0
5,0,0,1600,1554,6.67,86.11,7,1,386000,1704550,0,540480,1600,1.0
5,0,0,1584,1562,7.13,86.24,7,1,386000,1728855,0,548290,1584,1.0
5,0,0,1584,1551,6.02,85.96,7,1,386000,1752944,0,556047,1584,1.0
5,0,0,1600,1565,6.04,85.88,8,1,386000,1777096,0,563872,1600,1.0
5,0,0,1584,1553,5.9,86.17,8,1,386000,1801036,0,571640,1584,1.0
5,0,0,1600,1561,6.09,86.3,8,1,386000,1825267,0,579445,1600,1.0
5,0,0,1584,1553,5.78,85.85,8,1,386000,1849226,0,587214,1584,1.0
5,0,0,1600,1549,5.83,86.4,8,1,386000,1873377,0,594969,1600,1.0
5,0,0,1584,1567,6.27,86.18,8,1,386000,1897352,0,602801,1584,1.0
5,0,0,1584,1552,6.14,85.79,8,1,386000,1921285,0,610561,1584,1.0
5,0,0,1600,1563,6.03,86.09,8,1,386000,1945362,0,618380,1600,1.0
5,0,0,1584,1551,5.72,86.2,8,1,386000,1969444,0,626135,1584,1.0
5,0,0,1600,1551,5.5,86.29,8,1,386000,1993593,0,633897,1600,1.0
5,0,0,1584,1562,5.31,85.99,8,1,386000,2017659,0,641705,1584,1.0
5,0,0,1584,1553,5.48,86.28,8,1,386000,2041561,0,649474,1584,1.0
5,0,0,1600,1558,4.82,86.26,9,1,386000,2065936,0,657282,1600,1.0
5,0,0,1584,1550,4.89,85.95,9,1,386000,2089878,0,665021,1584,1.0
5,0,0,1600,1552,4.73,86.42,9,1,386000,2114024,0,672787,1600,1.0
5,0,0,1584,1568,4.87,85.91,9,1,386000,2138118,0,680623,1584,1.0
5,0,0,1584,1552,5.04,86.06,9,1,386000,2161955,0,688383,1584,1.0
