interval_seconds,ycsb_ops,kmeans_ops,bank_ops,total_ops_interval,cpu_utilization,memory_utilization,core_count,threads_per_core,evict_threshold,cache_hit,sst_count,total_ops_cumulative,request_total,memory_utilization_normalized
5,0,99,0,64,5.67,86.2,7,1,386000,3817117,0,31767,99,1.0
5,0,100,0,122,5.95,86.39,7,1,386000,3881389,0,32378,100,1.0
5,0,100,0,98,5.95,85.81,7,1,386000,3938749,0,32870,100,1.0
5,0,100,0,94,5.87,85.95,7,1,386000,3994669,0,33343,100,1.0
5,0,100,0,79,5.92,86.06,7,1,386000,4048863,0,33739,100,1.0
5,0,100,0,68,5.73,86.21,7,1,386000,4101223,0,34080,100,1.0
5,0,100,0,85,5.13,86.38,8,1,386000,4154043,0,34507,100,1.0
5,0,99,0,125,5.13,85.86,8,1,386000,4218543,0,35136,99,1.0
5,0,100,0,52,5.03,86.03,8,1,386000,4270995,0,35396,100,1.0
5,0,100,0,96,5.23,86.24,8,1,386000,4327296,0,35879,100,1.0
5,0,100,0,57,5.06,86.43,8,1,386000,4374991,0,36165,100,1.0
5,0,100,0,91,5.01,85.86,8,1,386000,4429591,0,36621,100,1.0
5,0,100,0,110,5.11,86.09,8,1,386000,4489051,0,37174,100,1.0
5,0,99,0,62,4.99,86.26,8,1,386000,4539414,0,37486,99,1.0
5,0,100,0,127,5.16,86.44,8,1,386000,4604765,0,38123,100,1.0
5,0,100,0,93,5.09,85.86,8,1,386000,4660085,0,38588,100,1.0
5,0,100,0,83,5.06,86.04,8,1,386000,4712285,0,39006,100,1.0
5,0,100,0,110,4.88,86.28,8,1,386000,4770905,0,39558,100,1.0
5,0,100,0,101,4.62,85.84,9,1,386000,4827125,0,40063,100,1.0
5,0,100,0,94,4.63,85.97,9,1,386000,4883105,0,40536,100,1.0
5,0,99,0,111,4.58,86.2,9,1,386000,4942565,0,41093,99,1.0
5,0,100,0,83,4.52,86.37,9,1,386000,4994345,0,41511,100,1.0
5,0,100,0,117,4.5,85.87,9,1,386000,5056385,0,42097,100,1.0
5,0,100,0,99,4.65,85.99,9,1,386000,5114405,0,42596,100,1.0
5,0,100,0,84,4.56,86.16,9,1,386000,5166665,0,43018,100,1.0
5,0,100,0,100,4.45,86.37,9,1,386000,5226538,0,43519,100,1.0
5,0,100,0,84,4.42,85.82,9,1,386000,5279006,0,43941,100,1.0
5,0,99,0,119,4.71,86.03,9,1,386000,5341406,0,44538,99,1.0
5,0,100,0,66,4.5,86.19,9,1,386000,5390672,0,44870,100,1.0
5,0,100,0,108,4.63,86.43,9,1,386000,5449532,0,45413,100,1.0
5,0,100,0,84,4.04,85.86,10,1,386000,5503100,0,45837,100,1.0
