interval_seconds,ycsb_ops,kmeans_ops,bank_ops,total_ops_interval,cpu_utilization,memory_utilization,core_count,threads_per_core,evict_threshold,cache_hit,sst_count,total_ops_cumulative,request_total,memory_utilization_normalized
5,0,0,99,0,0.2,85.74,2,1,386000,760,0,0,99,1.0
5,0,0,100,0,0.4,85.74,2,1,386000,1502,0,0,100,1.0
5,0,0,100,183,1.2,86.43,2,1,386000,4210,0,918,100,1.0
5,0,0,100,100,0.8,86.21,2,1,386000,5781,0,1419,100,1.0
5,0,0,100,97,0.9,85.79,2,1,386000,7271,0,1908,100,1.0
5,0,0,100,100,0.9,86.28,2,1,386000,8798,0,2409,100,1.0
5,0,0,100,99,0.9,86.02,2,1,386000,10339,0,2908,100,1.0
5,0,0,99,100,1.1,85.8,2,1,386000,11842,0,3409,99,1.0
5,0,0,100,96,0.9,86.24,2,1,386000,13355,0,3892,100,1.0
5,0,0,100,103,0.8,85.99,2,1,386000,14894,0,4407,100,1.0
5,0,0,100,97,0.9,86.31,2,1,386000,16401,0,4895,100,1.0
5,0,0,100,98,0.8,85.78,2,1,386000,17897,0,5388,100,1.0
5,0,0,100,98,0.7,86.08,2,1,386000,19410,0,5880,100,1.0
5,0,0,100,101,0.54,86.42,3,1,386000,20968,0,6385,100,1.0
5,0,0,99,97,0.6,86.45,3,1,386000,22480,0,6871,99,1.0
5,0,0,100,101,0.33,86.22,3,1,386000,24031,0,7377,100,1.0
5,0,0,100,99,0.6,85.98,3,1,386000,25544,0,7873,100,1.0
5,0,0,100,99,0.53,86.43,3,1,386000,27063,0,8368,100,1.0
5,0,0,100,101,0.86,86.3,3,1,386000,28578,0,8875,100,1.0
5,0,0,100,98,0.6,85.89,3,1,386000,30089,0,9365,100,1.0
5,0,0,100,98,0.4,86.08,3,1,386000,31584,0,9857,100,1.0
5,0,0,99,100,0.67,85.95,3,1,386000,33057,0,10358,99,1.0
5,0,0,100,100,0.8,86.24,3,1,386000,34629,0,10859,100,1.0
5,0,0,100,98,0.53,85.99,3,1,386000,36168,0,11349,100,1.0
5,0,0,100,101,0.86,86.33,3,1,386000,37715,0,11858,100,1.0
5,0,0,100,98,0.5,86.08,4,1,386000,39224,0,12352,100,1.0
5,0,0,100,98,0.5,85.98,4,1,386000,40757,0,12842,100,1.0
5,0,0,100,99,0.3,86.41,4,1,386000,42292,0,13338,100,1.0
5,0,0,99,99,0.45,86.11,4,1,386000,43794,0,13833,99,1.0
5,0,0,100,100,0.45,86.0,4,1,386000,45333,0,14337,100,1.0
5,0,0,100,99,0.6,86.45,4,1,386000,46862,0,14835,100,1.0
5,0,0,100,98,0.6,86.17,4,1,386000,48383,0,15326,100,1.0
5,0,0,100,100,0.6,85.78,4,1,386000,49896,0,15830,100,1.0
5,0,0,100,96,0.5,86.21,4,1,386000,51377,0,16313,100,1.0
5,0,0,100,99,0.45,85.8,4,1,386000,52888,0,16810,100,1.0
5,0,0,99,99,0.55,86.24,4,1,386000,54369,0,17308,99,1.0
5,0,0,100,98,0.5,85.82,4,1,386000,55879,0,17800,100,1.0
5,0,0,100,100,0.45,86.09,5,1,386000,57398,0,18302,100,1.0
5,0,0,100,99,0.44,86.43,5,1,386000,58903,0,18799,100,1.0
5,0,0,100,98,0.24,85.98,5,1,386000,60420,0,19291,100,1.0
5,0,0,100,98,0.32,86.31,5,1,386000,61940,0,19783,100,1.0
5,0,0,99,101,0.32,86.06,5,1,386000,63439,0,20289,99,1.0
5,0,0,100,99,0.44,86.39,5,1,386000,64930,0,20785,100,1.0
5,0,0,100,100,0.36,86.17,5,1,386000,66489,0,21286,100,1.0
5,0,0,100,97,0.36,85.78,5,1,386000,68040,0,21775,100,1.0
5,0,0,100,100,0.36,86.22,5,1,386000,69573,0,22277,100,1.0
