interval_seconds,ycsb_ops,kmeans_ops,bank_ops,total_ops_interval,cpu_utilization,memory_utilization,core_count,threads_per_core,evict_threshold,cache_hit,sst_count,total_ops_cumulative,request_total,memory_utilization_normalized
5,495,0,0,489,3.24,86.44,2,1,386000,2522,0,2447,495,1.0
5,500,0,0,502,4.11,86.14,2,1,386000,5033,0,4958,500,1.0
5,495,0,0,494,3.23,86.11,2,1,386000,7599,0,7431,495,1.0
5,500,0,0,497,3.24,86.34,2,1,386000,10117,0,9916,500,1.0
5,500,0,0,498,3.82,85.9,2,1,386000,12638,0,12407,500,1.0
5,495,0,0,492,4.39,86.01,2,1,386000,15154,0,14870,495,1.0
5,500,0,0,500,4.11,86.28,2,1,386000,17693,0,17374,500,1.0
5,500,0,0,492,4.11,86.38,2,1,386000,20219,0,19835,500,1.0
5,495,0,0,494,4.02,85.75,2,1,386000,22743,0,22307,495,1.0
5,500,0,0,503,3.33,85.84,2,1,386000,25346,0,24823,500,1.0
5,500,0,0,499,4.1,86.24,2,1,386000,27841,0,27320,500,1.0
5,495,0,0,495,4.4,86.18,2,1,386000,30411,0,29797,495,1.0
5,500,0,0,492,4.01,86.28,2,1,386000,32946,0,32261,500,1.0
5,500,0,0,504,2.86,86.13,3,1,386000,35421,0,34782,500,1.0
5,495,0,0,491,2.81,86.39,3,1,386000,37881,0,37240,495,1.0
5,500,0,0,502,3.32,85.92,3,1,386000,40431,0,39752,500,1.0
5,500,0,0,495,2.41,86.18,3,1,386000,42941,0,42229,500,1.0
5,495,0,0,492,3.12,86.44,3,1,386000,45409,0,44691,495,1.0
5,500,0,0,496,2.68,85.81,3,1,386000,47970,0,47175,500,1.0
5,500,0,0,500,2.74,85.95,3,1,386000,50338,0,49679,500,1.0
5,495,0,0,494,3.06,86.21,3,1,386000,52821,0,52153,495,1.0
5,500,0,0,496,2.75,86.31,3,1,386000,55374,0,54633,500,1.0
5,500,0,0,494,3.19,86.41,3,1,386000,57914,0,57107,500,1.0
5,495,0,0,507,3.13,86.26,3,1,386000,60400,0,59640,495,1.0
5,500,0,0,500,2.81,85.76,3,1,386000,62941,0,62140,500,1.0
5,495,0,0,487,2.48,86.03,4,1,386000,65374,0,64579,495,1.0
5,500,0,0,500,2.2,86.03,4,1,386000,67779,0,67082,500,1.0
5,500,0,0,500,1.86,86.29,4,1,386000,70320,0,69586,500,1.0
5,495,0,0,492,1.91,85.83,4,1,386000,72784,0,72047,495,1.0
5,500,0,0,500,1.91,86.21,4,1,386000,75283,0,74549,500,1.0
5,500,0,0,498,2.1,85.9,4,1,386000,77761,0,77039,500,1.0
5,495,0,0,494,1.76,85.99,4,1,386000,80282,0,79511,495,1.0
5,500,0,0,498,1.76,86.09,4,1,386000,82847,0,82005,500,1.0
5,500,0,0,498,2.15,85.78,4,1,386000,85329,0,84495,500,1.0
5,495,0,0,496,2.01,85.86,4,1,386000,87874,0,86975,495,1.0
5,500,0,0,499,2.11,86.27,4,1,386000,90358,0,89471,500,1.0
5,495,0,0,498,1.91,86.12,4,1,386000,92784,0,91964,495,1.0
5,500,0,0,499,1.77,86.19,5,1,386000,95366,0,94462,500,1.0
5,495,0,0,487,1.37,86.13,5,1,386000,97882,0,96898,495,1.0
5,500,0,0,503,1.36,86.2,5,1,386000,100499,0,99417,500,1.0
5,495,0,0,496,1.72,85.74,5,1,386000,102989,0,101900,495,1.0
5,500,0,0,495,1.45,86.15,5,1,386000,105457,0,104376,500,1.0
5,495,0,0,494,1.49,86.11,5,1,386000,108019,0,106850,495,1.0
5,500,0,0,497,1.61,85.95,5,1,386000,110458,0,109339,500,1.0
5,495,0,0,495,1.64,86.34,5,1,386000,112900,0,111814,495,1.0
5,500,0,0,502,1.64,86.04,5,1,386000,115409,0,114324,500,1.0
5,495,0,0,495,1.45,85.74,5,1,386000,117846,0,116800,495,1.0
5,500,0,0,499,1.52,85.99,5,1,386000,120380,0,119296,500,1.0
5,495,0,0,493,1.68,86.39,5,1,386000,122817,0,121762,495,1.0
5,500,0,0,493,1.3,85.91,6,1,386000,125307,0,124227,500,1.0
5,495,0,0,492,1.41,86.16,6,1,386000,127782,0,126689,495,1.0
5,500,0,0,500,1.5,85.85,6,1,386000,130287,0,129193,500,1.0
5,495,0,0,492,1.24,85.79,6,1,386000,132833,0,131653,495,1.0
5,500,0,0,498,1.6,86.36,6,1,386000,135269,0,134144,500,1.0
5,495,0,0,494,1.27,85.9,6,1,386000,137751,0,136616,495,1.0
5,500,0,0,504,1.6,86.29,6,1,386000,140274,0,139137,500,1.0
5,495,0,0,490,1.27,86.37,6,1,386000,142775,0,141588,495,1.0
5,500,0,0,501,1.8,86.21,6,1,386000,145234,0,144097,500,1.0
5,495,0,0,494,1.47,86.44,6,1,386000,147728,0,146570,495,1.0
5,500,0,0,498,1.27,86.29,6,1,386000,150175,0,149061,500,1.0
5,495,0,0,496,1.6,86.28,6,1,386000,152544,0,151544,495,1.0
5,500,0,0,491,1.39,86.38,7,1,386000,155060,0,154003,500,1.0
5,495,0,0,496,1.34,86.07,7,1,386000,157515,0,156487,495,1.0
5,500,0,0,504,1.09,85.76,7,1,386000,160040,0,159008,500,1.0
5,500,0,0,490,1.4,85.86,7,1,386000,162544,0,161461,500,1.0
5,495,0,0,493,1.15,86.14,7,1,386000,165024,0,163930,495,1.0
5,500,0,0,501,0.95,86.38,7,1,386000,167565,0,166437,500,1.0
5,495,0,0,499,1.12,86.06,7,1,386000,170050,0,168934,495,1.0
5,500,0,0,496,1.43,85.89,7,1,386000,172483,0,171416,500,1.0
5,495,0,0,497,1.17,86.27,7,1,386000,174944,0,173901,495,1.0
5,500,0,0,496,1.01,85.96,7,1,386000,177413,0,176383,500,1.0
5,495,0,0,497,1.12,85.89,7,1,386000,180012,0,178871,495,1.0
5,500,0,0,493,1.09,86.0,7,1,386000,182524,0,181337,500,1.0
5,500,0,0,501,0.95,86.39,8,1,386000,185028,0,183844,500,1.0
5,495,0,0,491,1.05,85.92,8,1,386000,187489,0,186301,495,1.0
5,500,0,0,496,1.1,85.86,8,1,386000,190113,0,188804,500,1.0
5,495,0,0,497,1.15,86.23,8,1,386000,192564,0,191271,495,1.0
5,495,0,0,495,0.85,85.78,8,1,386000,195052,0,193749,495,1.0
5,500,0,0,502,0.9,85.88,8,1,386000,197650,0,196262,500,1.0
5,495,0,0,489,0.9,86.29,8,1,386000,200052,0,198711,495,1.0
5,500,0,0,501,1.07,86.12,8,1,386000,202512,0,201218,500,1.0
5,495,0,0,495,0.9,86.2,8,1,386000,205054,0,203696,495,1.0
5,500,0,0,492,0.95,86.29,8,1,386000,207584,0,206157,500,1.0
5,495,0,0,497,1.17,85.84,8,1,386000,210085,0,208645,495,1.0
5,500,0,0,499,1.03,86.09,8,1,386000,212631,0,211144,500,1.0
5,495,0,0,493,0.93,86.32,9,1,386000,215105,0,213613,495,1.0
5,500,0,0,496,0.98,86.41,9,1,386000,217671,0,216095,500,1.0
5,495,0,0,492,1.05,85.78,9,1,386000,220185,0,218556,495,1.0
5,495,0,0,495,0.76,85.84,9,1,386000,222744,0,221034,495,1.0
5,500,0,0,498,1.27,85.92,9,1,386000,225307,0,223525,500,1.0
5,495,0,0,497,0.74,86.01,9,1,386000,227859,0,226010,495,1.0
5,500,0,0,493,0.6,86.11,9,1,386000,230386,0,228478,500,1.0
5,495,0,0,499,1.07,86.39,9,1,386000,232893,0,230975,495,1.0
5,500,0,0,501,0.91,86.24,9,1,386000,235354,0,233481,500,1.0
5,495,0,0,492,1.11,85.79,9,1,386000,237816,0,235943,495,1.0
5,500,0,0,498,0.87,86.36,9,1,386000,240251,0,238437,500,1.0
5,495,0,0,496,1.07,85.89,9,1,386000,242750,0,240918,495,1.0
5,495,0,0,489,1.0,85.98,10,1,386000,245241,0,243367,495,1.0
5,500,0,0,497,1.1,85.82,10,1,386000,247679,0,245854,500,1.0
5,495,0,0,501,0.78,85.89,10,1,386000,250257,0,248362,495,1.0
5,500,0,0,496,0.88,86.14,10,1,386000,252773,0,250844,500,1.0
5,495,0,0,491,1.0,85.84,10,1,386000,255190,0,253301,495,1.0
5,500,0,0,502,0.76,86.25,10,1,386000,257705,0,255814,500,1.0
5,495,0,0,491,0.78,85.77,10,1,386000,260177,0,258273,495,1.0
5,500,0,0,493,1.0,86.02,10,1,386000,262663,0,260740,500,1.0
5,495,0,0,492,0.94,86.13,10,1,386000,265175,0,263201,495,1.0
5,495,0,0,500,0.96,86.37,10,1,386000,267698,0,265701,495,1.0
5,500,0,0,500,1.12,86.36,10,1,386000,270111,0,268204,500,1.0
5,495,0,0,488,0.8,86.12,10,1,386000,272690,0,270644,495,1.0
5,500,0,0,503,0.88,85.81,11,1,386000,275213,0,273162,500,1.0
5,495,0,0,493,1.04,86.34,11,1,386000,277605,0,275627,495,1.0
5,500,0,0,502,0.66,86.01,11,1,386000,280122,0,278138,500,1.0
5,495,0,0,494,1.09,86.09,11,1,386000,282652,0,280608,495,1.0
5,500,0,0,499,0.97,86.32,11,1,386000,285184,0,283103,500,1.0
5,495,0,0,494,0.95,86.16,11,1,386000,287573,0,285573,495,1.0
5,495,0,0,494,0.87,85.86,11,1,386000,290011,0,288045,495,1.0
5,500,0,0,497,0.91,85.95,11,1,386000,292574,0,290532,500,1.0
5,495,0,0,493,1.0,86.19,11,1,386000,295053,0,293000,495,1.0
5,500,0,0,492,0.86,85.88,11,1,386000,297497,0,295464,500,1.0
5,495,0,0,495,0.95,86.44,11,1,386000,299897,0,297942,495,1.0
5,500,0,0,501,0.69,86.28,11,1,386000,302389,0,300466,500,1.0
5,495,0,0,498,0.81,86.21,12,1,386000,304968,0,302942,495,1.0
5,495,0,0,491,1.01,85.89,12,1,386000,307391,0,305399,495,1.0
5,500,0,0,502,0.73,85.81,12,1,386000,310030,0,307909,500,1.0
5,495,0,0,488,0.9,86.06,12,1,386000,312472,0,310352,495,1.0
5,500,0,0,505,0.9,86.32,12,1,386000,315037,0,312878,500,1.0
5,495,0,0,489,0.74,85.85,12,1,386000,317486,0,315327,495,1.0
5,495,0,0,496,0.87,86.1,12,1,386000,319982,0,317809,495,1.0
5,500,0,0,499,0.83,85.77,12,1,386000,322482,0,320307,500,1.0
5,495,0,0,491,0.82,86.18,12,1,386000,324890,0,322765,495,1.0
5,500,0,0,503,0.9,85.85,12,1,386000,327417,0,325280,500,1.0
5,495,0,0,488,0.88,85.79,12,1,386000,329941,0,327723,495,1.0
5,495,0,0,495,0.83,86.17,12,1,386000,332404,0,330199,495,1.0
5,500,0,0,501,0.9,86.01,13,1,386000,334855,0,332707,500,1.0
5,495,0,0,495,0.82,86.27,13,1,386000,337336,0,335184,495,1.0
5,500,0,0,496,1.0,86.12,13,1,386000,339763,0,337667,500,1.0
5,495,0,0,492,0.96,86.37,13,1,386000,342226,0,340127,495,1.0
5,495,0,0,500,0.92,86.21,13,1,386000,344678,0,342631,495,1.0
5,500,0,0,491,0.76,86.04,13,1,386000,347058,0,345088,500,1.0
5,495,0,0,498,0.77,86.44,13,1,386000,349530,0,347582,495,1.0
5,500,0,0,497,0.77,85.99,13,1,386000,352046,0,350071,500,1.0
5,495,0,0,497,0.74,86.22,13,1,386000,354556,0,352559,495,1.0
5,495,0,0,491,0.68,85.76,13,1,386000,357009,0,355015,495,1.0
5,500,0,0,501,0.82,85.99,13,1,386000,359570,0,357521,500,1.0
5,495,0,0,491,0.97,86.25,13,1,386000,362023,0,359976,495,1.0
5,500,0,0,499,0.72,85.81,14,1,386000,364549,0,362475,500,1.0
5,495,0,0,491,0.77,85.91,14,1,386000,367051,0,364930,495,1.0
5,495,0,0,495,0.57,86.15,14,1,386000,369552,0,367409,495,1.0
5,500,0,0,499,0.86,86.38,14,1,386000,372097,0,369907,500,1.0
5,495,0,0,490,1.0,86.29,14,1,386000,374644,0,372360,495,1.0
5,500,0,0,505,1.1,85.81,14,1,386000,377222,0,374885,500,1.0
5,495,0,0,494,0.8,85.9,14,1,386000,379748,0,377356,495,1.0
5,500,0,0,494,0.69,86.14,14,1,386000,382243,0,379828,500,1.0
5,495,0,0,494,0.64,86.0,14,1,386000,384647,0,382300,495,1.0
5,495,0,0,493,0.67,85.93,14,1,386000,387210,0,384769,495,1.0
5,500,0,0,503,0.83,86.03,14,1,386000,389811,0,387284,500,1.0
5,495,0,0,488,0.72,86.13,14,1,386000,392294,0,389728,495,1.0
