interval_seconds,ycsb_ops,kmeans_ops,bank_ops,total_ops_interval,cpu_utilization,memory_utilization,core_count,threads_per_core,evict_threshold,cache_hit,sst_count,total_ops_cumulative,request_total,memory_utilization_normalized
5,7840,0,0,7755,48.15,86.41,2,1,386000,39750,0,38777,7840,1.0
5,7920,0,0,7825,48.94,86.05,2,1,386000,79322,0,77919,7920,1.0
5,7920,0,0,7860,50.78,86.46,2,1,386000,119207,0,117224,7920,1.0
5,7920,0,0,7823,50.89,85.75,2,1,386000,158506,0,156322,7920,1.0
5,7920,0,0,7843,50.48,85.77,2,1,386000,198259,0,195541,7920,1.0
5,7840,0,0,7838,50.78,86.36,2,1,386000,238190,0,234733,7840,1.0
5,7920,0,0,7814,51.49,86.36,2,1,386000,277704,0,273817,7920,1.0
5,7920,0,0,7857,50.06,85.99,2,1,386000,317376,0,313094,7920,1.0
5,7920,0,0,7830,50.71,86.31,2,1,386000,356623,0,352246,7920,1.0
5,7840,0,0,7842,51.21,86.18,2,1,386000,396654,0,391458,7840,1.0
5,7920,0,0,7841,50.44,86.36,2,1,386000,436120,0,430674,7920,1.0
5,7920,0,0,7810,50.8,86.16,2,1,386000,475664,0,469718,7920,1.0
5,7920,0,0,7838,50.85,86.06,2,1,386000,515324,0,508910,7920,1.0
5,7920,0,0,7819,34.4,85.9,3,1,386000,554793,0,548016,7920,1.0
5,7840,0,0,7781,39.77,85.89,3,1,386000,594173,0,586915,7840,1.0
5,7840,0,0,7822,38.84,85.97,3,1,386000,633704,0,626027,7840,1.0
5,7920,0,0,7806,37.65,86.39,3,1,386000,673006,0,665058,7920,1.0
5,7840,0,0,7826,37.7,86.31,3,1,386000,712996,0,704206,7840,1.0
5,7920,0,0,7802,37.69,85.84,3,1,386000,752515,0,743205,7920,1.0
5,7920,0,0,7827,38.35,86.22,3,1,386000,792248,0,782341,7920,1.0
5,7840,0,0,7797,37.08,86.09,3,1,386000,832149,0,821354,7840,1.0
5,7920,0,0,7807,37.24,85.78,3,1,386000,871376,0,860372,7920,1.0
5,7840,0,0,7825,37.66,85.76,3,1,386000,910725,0,899509,7840,1.0
5,7920,0,0,7797,37.84,85.87,3,1,386000,950346,0,938485,7920,1.0
